Record;veg;sito;tipo;orig;nbsp;sing.sp;FRic;qual.FRic;FEve;FDiv;FDis;RaoQ;CWM.Temp.factor;CWM.Continentality;CWM.Light.value;CWM.Humidity.values;CWM.Soil.moisture.variability;CWM.Soil.nutrients;CWM.Soil.humus;CWM.Root.depth;CWM.pH;PH;Nitrogen;Carbon;Hydrogen;Suphur;Al;Ca;Fe ;K ;Mg ;Mn ;Na ;P ;Sc ;artr_rich
BIS_PR1;PR;BIS;1;1;41;41;0,09;0,09;0,87;0,74;0,15;0,03;3,29;3,24;3,55;2,76;1,74;2,79;3,22;2,15;3,1;5,72;0,37;4,36;2,17;0;20;52,55;2,88;1,85;4,76;0,36;0,31;0,2;0,98;42
BIS_PR2;PR;BIS;1;1;35;35;0,1;0,09;0,85;0,73;0,15;0,03;3,26;3,24;3,47;2,81;1,81;2,79;3,13;2,17;3,2;5,4;0,45;5,28;2,33;0;22,19;48,23;3,05;2,28;3,98;0,23;0,28;0,26;0,97;37
BIS_PR3;PR;BIS;1;1;37;37;0,11;0,09;0,86;0,66;0,14;0,02;3,45;3,1;3,31;2,89;1,69;2,89;3,23;2,4;3,14;6,38;0,29;3,85;1,98;0;19,96;91,09;2,32;2,07;4,09;0,43;0,35;0,47;0,97;48
BIS_PR4;PR;BIS;1;1;37;37;0,1;0,09;0,86;0,74;0,16;0,03;3,3;3,27;3,34;2,8;1,7;2,95;3,18;2,3;3,31;6,7;0,4;5,14;2,39;0;11,57;97,96;1,97;2,09;4,51;0,39;0,15;0,18;0,97;16
BIS_PR5;PR;BIS;1;1;41;40;0,1;0,09;0,82;0,74;0,15;0,02;3,25;3,23;3,44;2,81;1,71;2,96;3,09;2,4;3,28;5,78;0,49;7,32;2,61;0;16,34;82,16;2,75;6,63;5,4;0,28;0,51;0,27;0,96;30
BIS_BM1;BM;BIS;0;1;17;17;0,05;0,09;0,87;0,7;0,14;0,02;3,21;2,64;2,07;3,04;1,52;3,13;3,37;2,64;3,07;4,65;0,2;2,64;0;1,71;31,18;9,27;9,22;1,59;1,04;0,09;0;0,1;0,97;14
BIS_BM2;BM;BIS;0;1;15;15;0,05;0,09;0,76;0,71;0,14;0,02;3,34;2,72;2,16;2,86;1,51;2,81;3,25;3,11;3,07;4,47;0,26;3,38;0;1,93;18,8;3,55;7,34;0,67;0,6;0,03;0;0,07;0,98;18
BIS_BM3;BM;BIS;0;1;16;16;0,04;0,09;0,85;0,83;0,13;0,02;3,24;2,67;1,84;2,91;1,3;3,09;3,28;3,21;2,99;5,96;0,51;6,76;2,52;0;26,07;13,67;8,75;1,6;1,31;0,09;0;0,15;0,97;17
BIS_BM4;BM;BIS;0;1;22;22;0,06;0,09;0,87;0,81;0,17;0,03;3,19;2,71;2,32;3;1,83;3,07;3,55;2,52;3,09;5,49;0,32;3,71;1,85;0;19,2;30,26;5,84;1,39;3,5;0,13;0;0,12;0,96;33
BIS_BM5;BM;BIS;0;1;19;19;0,06;0,09;0,86;0,76;0,15;0,03;3,06;2,59;2,22;3,21;2,08;3,06;3,53;2,73;3,08;5,49;0,32;3,71;1,85;0;19,2;30,26;5,84;1,39;3,5;0,13;0;0,12;0,96;26
BIS_AR1;AR;BIS;0;0;9;9;0,02;0,09;0,84;0,9;0,17;0,03;2,9;2,82;1,83;3,02;1,39;3,3;4,27;3,05;2,9;3,93;0,62;14,43;2,67;0;29,13;25;6,28;1,75;1,61;0,63;0,15;0,55;0,97;27
BIS_AR2;AR;BIS;0;0;13;13;0,04;0,09;0,89;0,84;0,18;0,03;3,01;2,8;1,95;3,09;1,64;3,35;4,05;2,76;2,78;6,78;0,41;7,68;2,48;0;13,18;137,64;2,64;2,53;4,22;1,3;0,22;0,33;0,95;36
BIS_AR3;AR;BIS;0;0;7;7;0,03;0,09;0,77;0,8;0,16;0,03;2,87;2,47;1,61;3,43;1,54;3,05;4,26;3,75;2,89;6,92;0,33;7,47;2,46;0;7,56;117,6;1,38;2,39;3,56;0,54;0;0,12;0,96;16
BIS_AR4;AR;BIS;0;0;7;7;0,02;0,09;0,74;0,76;0,12;0,02;2,77;2,93;1,53;3;1,27;3;4,33;3,93;3;3,68;0,6;9,65;2,53;0;28,46;12,94;7,77;2,04;1,47;0,24;0;0,2;0,97;22
BIS_AR5;AR;BIS;0;0;6;6;0,02;0,09;0,72;0,7;0,13;0,02;2,7;2,87;1,47;2,96;1,27;3,07;4,33;3,77;2,83;4,09;0,6;9,85;2,63;0;32,25;17,15;8,5;1,9;1,78;0,38;0,14;0,23;0,97;24
AVR_AR1;AR;AVR;0;0;21;20;0,05;0,09;0,82;0,77;0,15;0,03;3,44;2,52;2,06;3,22;1,66;2,82;3,84;3,39;3,39;6,56;0,41;5;5,1;0;15,47;134,2;2,15;3,74;3,65;4,98;0,72;0,05;0,96;23
AVR_AR2;AR;AVR;0;0;24;23;0,1;0,09;0,8;0,68;0,14;0,03;3,53;2,99;2,26;2,9;1,42;2,66;3,36;3,09;3,49;6,86;0,5;6,31;4,67;0;17,73;148,37;2,4;3,89;7,87;3,4;0,52;0,09;0,96;27
AVR_AR3;AR;AVR;0;0;5;5;0,02;0,09;0,78;0,84;0,12;0,02;2,79;3,08;1,58;2,96;1,08;3;4,33;4,05;3,75;5,23;0,37;5,81;4,01;0;28,06;58,32;4,5;3,1;4,53;3,61;0,3;0,14;0,97;13
AVR_AR4;AR;AVR;0;0;3;3;0;0,09;0,53;0,83;0,09;0,01;2,77;2,91;1,37;3,07;1,37;3;4,54;4,42;3,63;4,97;0,34;4,73;3,26;0;32,54;38,53;1,79;4,19;3,2;1,84;0,15;0,12;0,98;28
AVR_AR5;AR;AVR;0;0;6;6;0,02;0,09;0,71;0,61;0,11;0,01;2,81;2,85;1,46;3,08;1,31;2,85;4,38;4,36;3,8;5;0,46;7,99;4,4;0;22,01;55,98;3,49;5,05;4,8;3,29;0,36;0,22;0,98;23
AVR_BM1;BM;AVR;0;1;18;18;0,05;0,09;0,87;0,71;0,13;0,02;3,52;2,92;2,65;2,93;1,63;2,69;3,3;3,52;3,33;5,17;0,28;3,38;0;2,82;26,42;33,63;5,14;0,95;3,67;0,55;0,09;0,07;0,97;20
AVR_BM2;BM;AVR;0;1;26;26;0,05;0,09;0,86;0,61;0,12;0,02;3,45;2,97;2,89;3;1,85;2,78;3,12;3,19;3,33;5,52;0,43;5,7;0;3,18;14,54;56,09;4,03;1,78;4,33;0,94;0;0,13;0,97;52
AVR_BM3;BM;AVR;0;1;14;14;0,06;0,09;0,85;0,68;0,15;0,03;3,5;3,29;2,71;2,82;1,72;2,44;3,41;3,03;3,04;5,04;0,62;8,82;3,41;0;22,27;44,12;6;2,55;3,74;0,42;0,09;0,19;0,98;29
AVR_BM4;BM;AVR;0;1;26;26;0,06;0,09;0,84;0,75;0,14;0,02;3,66;2,97;2,65;2,99;1,62;3,15;3,15;3,29;3,42;5,54;0,3;3,38;0;1,91;11,92;26,7;4,51;2,76;2,15;1,71;0;0,19;0,98;55
AVR_BM5;BM;AVR;0;1;23;23;0,1;0,09;0,83;0,7;0,15;0,03;3,6;2,93;2,78;2,86;1,77;2,91;3,06;2,81;3,35;5,16;0,38;5,09;0;2,05;2,79;32,29;2,72;2,08;1,8;1,66;0;0,28;0,98;53
